n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
4476,M,3,4,1,607,M,S,2722,S,0,-6,false,1228
4477,M,2,3,-1,607,M,S,2722,C,0,-6,false,1228
4478,M,2,2,1,607,M,F,2723,C,1,-5,true,1229
4479,M,2,2,1,607,M,F,2724,S,1,-4,true,1230
4480,M,3,9,-1,607,L,S,2724,C,0,-4,false,1230
4481,P,1,1,-1,608,M,F,2725,S,-1,-5,false,1230
4482,M,3,5,-1,608,L,S,2725,C,0,-5,false,1230
4483,P,1,1,-1,609,M,F,2726,S,-1,-6,false,1230
4484,M,3,4,1,609,M,S,2726,C,0,-6,false,1230
4485,M,4,4,1,609,M,F,2727,C,1,-5,false,1230
4486,M,2,2,1,609,M,F,2728,C,1,-4,true,1231
4487,M,2,2,1,609,M,F,2729,S,1,-3,true,1232
4488,M,4,6,1,609,M,S,2729,S,0,-3,false,1232
4489,M,1,2,1,609,M,S,2729,C,0,-3,true,1233
4490,M,3,3,-1,609,M,F,2730,S,-1,-4,false,1233
4491,M,2,3,-1,609,M,S,2730,S,0,-4,false,1233
4492,M,2,3,-1,609,L,S,2730,C,0,-4,false,1233
4493,P,1,1,-1,610,M,F,2731,C,-1,-5,false,1233
4494,M,4,4,1,610,M,F,2732,C,1,-4,false,1233
4495,M,3,3,-1,610,M,F,2733,S,-1,-5,false,1233
4496,M,2,5,-1,610,M,S,2733,C,0,-5,false,1233
4497,M,2,2,1,610,M,F,2734,C,1,-4,true,1234
4498,M,3,3,-1,610,M,F,2735,C,-1,-5,false,1234
4499,M,2,2,1,610,M,F,2736,S,1,-4,true,1235
4500,M,3,7,-1,610,M,S,2736,C,0,-4,false,1235
4501,M,2,2,1,610,M,F,2737,C,1,-3,true,1236
4502,M,2,2,1,610,M,F,2738,C,1,-2,true,1237
4503,M,3,3,-1,610,M,F,2739,S,-1,-3,false,1237
4504,M,2,4,1,610,M,S,2739,C,0,-3,false,1237
4505,M,3,3,-1,610,M,F,2740,C,-1,-4,false,1237
4506,M,3,3,-1,610,L,F,2741,C,-1,-5,false,1237
4507,P,1,1,-1,611,M,F,2742,S,-1,-6,false,1237
4508,M,3,5,-1,611,M,S,2742,S,0,-6,false,1237
4509,M,2,4,1,611,M,S,2742,C,0,-6,false,1237
4510,M,4,4,1,611,M,F,2743,C,1,-5,false,1237
4511,M,2,2,1,611,M,F,2744,S,1,-4,true,1238
4512,M,3,7,-1,611,L,S,2744,C,0,-4,false,1238
4513,P,1,1,-1,612,M,F,2745,C,-1,-5,false,1238
4514,M,3,3,-1,612,M,F,2746,C,-1,-6,false,1238
4515,M,4,4,1,612,M,F,2747,S,1,-5,false,1238
4516,M,2,3,-1,612,L,S,2747,C,0,-5,false,1238
4517,P,1,1,-1,613,M,F,2748,S,-1,-6,false,1238
4518,M,3,4,1,613,L,S,2748,C,0,-6,false,1238
4519,P,1,1,-1,614,M,F,2749,S,-1,-7,false,1238
4520,M,3,5,-1,614,M,S,2749,C,0,-7,false,1238
4521,M,3,3,-1,614,M,F,2750,C,-1,-8,false,1238
4522,M,4,4,1,614,L,F,2751,C,1,-7,false,1238
